"key","imageKey","no","name","abilities","hp","atk","def","spa","spd","spe","evioliteEligible","point","synergyName","syn_physicalAttacker","syn_specialAttacker","syn_physicalSweeper","syn_specialSweeper","syn_physicalWall","syn_specialWall","syn_setup","types","moves"
"p0003","0003","3","フシギバナ","しんりょく|ようりょくそ","80","82","83","100","100","80","false","","","","","","","","","","くさ|どく","ギガインパクト|すてみタックル|のしかかり|からげんき|はかいこうせん|りんしょう|だいちのはどう|ウェザーボール|いびき|てだすけ|あまいかおり|ねごと|こらえる|こわいかお|まもる|みがわり|ほえる|つるぎのまい|パワーウィップ|はなふぶき|タネばくだん|グラススライダー|くさわけ|タネマシンガン|ハードプラント|リーフストーム|はなびらのまい|ソーラービーム|エナジーボール|ギガドレイン|くさむすび|グラスフィールド|なやみのタネ|ねをはる|こうごうせい|ねむりごな|せいちょう|やどりぎのタネ|にほんばれ|どくづき|ヘドロウェーブ|ヘドロばくだん|ベノムショック|アシッドボム|どくどく|どくのこな|じしん|じだんだ|じならし|だいちのちから|ねむる|ドわすれ|ひかりのかべ|のろい|げきりん|はたきおとす|あまえる"
"p0003-2","0003-M","3","メガフシギバナ","あついしぼう","80","100","123","122","120","80","false","","","","","","","","","","くさ|どく","ギガインパクト|すてみタックル|のしかかり|からげんき|はかいこうせん|りんしょう|だいちのはどう|ウェザーボール|いびき|てだすけ|あまいかおり|ねごと|こらえる|こわいかお|まもる|みがわり|ほえる|つるぎのまい|パワーウィップ|はなふぶき|タネばくだん|グラススライダー|くさわけ|タネマシンガン|ハードプラント|リーフストーム|はなびらのまい|ソーラービーム|エナジーボール|ギガドレイン|くさむすび|グラスフィールド|なやみのタネ|ねをはる|こうごうせい|ねむりごな|せいちょう|やどりぎのタネ|にほんばれ|どくづき|ヘドロウェーブ|ヘドロばくだん|ベノムショック|アシッドボム|どくどく|どくのこな|じしん|じだんだ|じならし|だいちのちから|ねむる|ドわすれ|ひかりのかべ|のろい|げきりん|はたきおとす|あまえる"
"p0006-2","0006-MX","6","メガリザードンX","かたいツメ","78","130","111","130","85","100","false","","","","","","","","","","ほのお|ドラゴン","ギガインパクト|すてみタックル|メガトンキック|のしかかり|からげんき|はかいこうせん|りんしょう|ウェザーボール|いびき|てだすけ|ねごと|こらえる|はらだいこ|こわいかお|まもる|みがわり|ほえる|つるぎのまい|ソーラービーム|フレアドライブ|やけっぱち|ほのおのパンチ|ほのおのキバ|ニトロチャージ|ヒートスタンプ|ブラストバーン|オーバーヒート|だいもんじ|れんごく|ねっぷう|かえんほうしゃ|ほのおのうず|おにび|にほんばれ|かみなりパンチ|そらをとぶ|つばめがえし|アクロバット|ぼうふう|エアスラッシュ|エアカッター|はねやすめ|いわなだれ|がんせきふうじ|げんしのちから|すなあらし|じしん|あなをほる|じならし|ねっさのだいち|きあいパンチ|かわらわり|カウンター|きあいだま|ねむる|シャドークロー|げきりん|ドラゴンダイブ|ドラゴンクロー|ワイドブレイカー|ドラゴンテール|スケイルショット|りゅうのはどう|ドラゴンエール|りゅうのまい|かみくだく|ぶんまわす|かみつく|なげつける|ふくろだたき|アイアンテール|はがねのつばさ"
"p0006-3","0006-MY","6","メガリザードンY","ひでり","78","104","78","159","115","100","false","","","","","","","","","","ほのお|ひこう","ギガインパクト|すてみタックル|メガトンキック|のしかかり|からげんき|はかいこうせん|りんしょう|ウェザーボール|いびき|てだすけ|ねごと|こらえる|はらだいこ|こわいかお|まもる|みがわり|ほえる|つるぎのまい|ソーラービーム|フレアドライブ|やけっぱち|ほのおのパンチ|ほのおのキバ|ニトロチャージ|ヒートスタンプ|ブラストバーン|オーバーヒート|だいもんじ|れんごく|ねっぷう|かえんほうしゃ|ほのおのうず|おにび|にほんばれ|かみなりパンチ|そらをとぶ|つばめがえし|アクロバット|ぼうふう|エアスラッシュ|エアカッター|はねやすめ|いわなだれ|がんせきふうじ|げんしのちから|すなあらし|じしん|あなをほる|じならし|ねっさのだいち|きあいパンチ|かわらわり|カウンター|きあいだま|ねむる|シャドークロー|げきりん|ドラゴンダイブ|ドラゴンクロー|ワイドブレイカー|ドラゴンテール|スケイルショット|りゅうのはどう|ドラゴンエール|りゅうのまい|かみくだく|ぶんまわす|かみつく|なげつける|ふくろだたき|アイアンテール|はがねのつばさ"
"p0006","0006","6","リザードン","もうか|サンパワー","78","84","78","109","85","100","false","","","","","","","","","","ほのお|ひこう","ギガインパクト|すてみタックル|メガトンキック|のしかかり|からげんき|はかいこうせん|りんしょう|ウェザーボール|いびき|てだすけ|ねごと|こらえる|はらだいこ|こわいかお|まもる|みがわり|ほえる|つるぎのまい|ソーラービーム|フレアドライブ|やけっぱち|ほのおのパンチ|ほのおのキバ|ニトロチャージ|ヒートスタンプ|ブラストバーン|オーバーヒート|だいもんじ|れんごく|ねっぷう|かえんほうしゃ|ほのおのうず|おにび|にほんばれ|かみなりパンチ|そらをとぶ|つばめがえし|アクロバット|ぼうふう|エアスラッシュ|エアカッター|はねやすめ|いわなだれ|がんせきふうじ|げんしのちから|すなあらし|じしん|あなをほる|じならし|ねっさのだいち|きあいパンチ|かわらわり|カウンター|きあいだま|ねむる|シャドークロー|げきりん|ドラゴンダイブ|ドラゴンクロー|ワイドブレイカー|ドラゴンテール|スケイルショット|りゅうのはどう|ドラゴンエール|りゅうのまい|かみくだく|ぶんまわす|かみつく|なげつける|ふくろだたき|アイアンテール|はがねのつばさ"
"p0009","0009","9","カメックス","げきりゅう|あめうけざら","79","83","100","85","105","78","false","","","","","","","","","","みず","ギガインパクト|すてみタックル|メガトンキック|のしかかり|からげんき|こうそくスピン|ねこだまし|じたばた|はかいこうせん|りんしょう|だいちのはどう|ウェザーボール|いびき|からをやぶる|あくび|てだすけ|ねごと|こらえる|こわいかお|まもる|みがわり|ほえる|ウェーブタックル|アクアテール|アクアブレイク|ダイビング|たきのぼり|クイックターン|アクアジェット|しおふき|ハイドロカノン|ハイドロポンプ|だくりゅう|なみのり|みずのはどう|ひやみず|うずしお|いのちのしずく|アクアリング|あまごい|いわなだれ|がんせきふうじ|うちおとす|じしん|あなをほる|じならし|マッドショット|アイススピナー|れいとうパンチ|ゆきなだれ|ふぶき|れいとうビーム|こごえるかぜ|くろいきり|きあいパンチ|ボディプレス|かわらわり|きあいだま|はどうだん|しねんのずつき|ミラーコート|ねむる|げきりん|りゅうのはどう|かみくだく|かみつく|なげつける|あくのはどう|アイアンテール|アイアンヘッド|ジャイロボール|ラスターカノン|てっぺき"
"p0009-2","0009-M","9","メガカメックス","メガランチャー","79","103","120","135","115","78","false","","","","","","","","","","みず","ギガインパクト|すてみタックル|メガトンキック|のしかかり|からげんき|こうそくスピン|ねこだまし|じたばた|はかいこうせん|りんしょう|だいちのはどう|ウェザーボール|いびき|からをやぶる|あくび|てだすけ|ねごと|こらえる|こわいかお|まもる|みがわり|ほえる|ウェーブタックル|アクアテール|アクアブレイク|ダイビング|たきのぼり|クイックターン|アクアジェット|しおふき|ハイドロカノン|ハイドロポンプ|だくりゅう|なみのり|みずのはどう|ひやみず|うずしお|いのちのしずく|アクアリング|あまごい|いわなだれ|がんせきふうじ|うちおとす|じしん|あなをほる|じならし|マッドショット|アイススピナー|れいとうパンチ|ゆきなだれ|ふぶき|れいとうビーム|こごえるかぜ|くろいきり|きあいパンチ|ボディプレス|かわらわり|きあいだま|はどうだん|しねんのずつき|ミラーコート|ねむる|げきりん|りゅうのはどう|かみくだく|かみつく|なげつける|あくのはどう|アイアンテール|アイアンヘッド|ジャイロボール|ラスターカノン|てっぺき"
"p0015","0015","15","スピアー","むしのしらせ|スナイパー","65","90","40","45","80","75","false","","","","","","","","","","むし|どく","ギガインパクト|すてみタックル|からげんき|ダブルアタック|がむしゃら|はかいこうせん|りんしょう|いびき|バトンタッチ|ねごと|メロメロ|こらえる|まもる|みがわり|きあいだめ|いやなおと|つるぎのまい|ソーラービーム|ギガドレイン|にほんばれ|エレキネット|とびかかる|シザークロス|はいよるいちげき|とんぼがえり|むしくい|とびつく|とどめばり|ミサイルばり|かふんだんご|むしのさざめき|いとをはく|つばめがえし|アクロバット|ダブルウイング|エアカッター|どくづき|クロスポイズン|ヘドロばくだん|ベノムショック|どくびし|どくどく|ドリルライナー|かわらわり|ねむる|こうそくいどう|じごくづき|はたきおとす|ぶんまわす|ダメおし|どろぼう|しっぺがえし|てっぺき"
"p0015-2","0015-M","15","メガスピアー","てきおうりょく","65","150","40","15","80","145","false","","","","","","","","","","むし|どく","ギガインパクト|すてみタックル|からげんき|ダブルアタック|がむしゃら|はかいこうせん|りんしょう|いびき|バトンタッチ|ねごと|メロメロ|こらえる|まもる|みがわり|きあいだめ|いやなおと|つるぎのまい|ソーラービーム|ギガドレイン|にほんばれ|エレキネット|とびかかる|シザークロス|はいよるいちげき|とんぼがえり|むしくい|とびつく|とどめばり|ミサイルばり|かふんだんご|むしのさざめき|いとをはく|つばめがえし|アクロバット|ダブルウイング|エアカッター|どくづき|クロスポイズン|ヘドロばくだん|ベノムショック|どくびし|どくどく|ドリルライナー|かわらわり|ねむる|こうそくいどう|じごくづき|はたきおとす|ぶんまわす|ダメおし|どろぼう|しっぺがえし|てっぺき"
"p0018","0018","18","ピジョット","するどいめ|ちどりあし|はとむね","83","80","75","70","70","101","false","","","","","","","","","","ノーマル|ひこう","ギガインパクト|からげんき|でんこうせっか|はかいこうせん|さわぐ|りんしょう|いびき|ねごと|メロメロ|こらえる|まもる|みがわり|ふきとばし|ねっぷう|にほんばれ|あまごい|とんぼがえり|ゴッドバード|ブレイブバード|そらをとぶ|つばめがえし|ダブルウイング|ぼうふう|エアスラッシュ|おいかぜ|はねやすめ|フェザーダンス|ねむる|こうそくいどう|どろぼう|はがねのつばさ"
"p0018-2","0018-M","18","メガピジョット","ノーガード","83","80","80","135","80","121","false","","","","","","","","","","ノーマル|ひこう","ギガインパクト|からげんき|でんこうせっか|はかいこうせん|さわぐ|りんしょう|いびき|ねごと|メロメロ|こらえる|まもる|みがわり|ふきとばし|ねっぷう|にほんばれ|あまごい|とんぼがえり|ゴッドバード|ブレイブバード|そらをとぶ|つばめがえし|ダブルウイング|ぼうふう|エアスラッシュ|おいかぜ|はねやすめ|フェザーダンス|ねむる|こうそくいどう|どろぼう|はがねのつばさ"
"p0024","0024","24","アーボック","いかく|だっぴ|きんちょうかん","60","95","69","65","79","80","false","","","","","","","","","","どく","ギガインパクト|すてみタックル|のしかかり|からげんき|まきつく|はかいこうせん|りんしょう|いびき|はきだす|のみこむ|たくわえる|いたみわけ|ねごと|こらえる|こわいかお|まもる|みがわり|へびにらみ|いやなおと|タネばくだん|くさわけ|ギガドレイン|ほのおのキバ|にほんばれ|あまごい|かみなりのキバ|きゅうけつ|はいよるいちげき|いわなだれ|がんせきふうじ|ダストシュート|どくづき|どくどくのキバ|ゲップ|ヘドロウェーブ|ヘドロばくだん|ベノムショック|アシッドボム|とぐろをまく|どくびし|いえき|どくどく|じしん|あなをほる|じだんだ|じならし|マッドショット|どろかけ|こおりのキバ|くろいきり|サイコファング|ねむる|うらみ|ワイドブレイカー|ドラゴンテール|スケイルショット|じごくづき|かみくだく|うっぷんばらし|ふいうち|はたきおとす|ぶんまわす|どろぼう|かみつく|しっぺがえし|ふくろだたき|あくのはどう|バークアウト|すりかえ|アイアンテール"
"p0025","0025","25","ピカチュウ","せいでんき|ひらいしん","35","55","40","50","50","90","false","","","","","","","","","","でんき","メガトンキック|のしかかり|からげんき|ねこだまし|でんこうせっか|フェイント|がむしゃら|じたばた|りんしょう|いびき|くすぐる|ねがいごと|てだすけ|アンコール|ねごと|こらえる|まもる|みがわり|かげぶんしん|くさわけ|くさむすび|なみのり|あまごい|ボルテッカー|ワイルドボルト|かみなりパンチ|ほっぺすりすり|でんじほう|かみなり|10まんボルト|ほうでん|ライジングボルト|ボルトチェンジ|エレキネット|チャージビーム|エレキボール|エレキフィールド|かいでんぱ|じゅうでん|でんじは|あなをほる|きあいパンチ|かわらわり|はやてがえし|きしかいせい|ねむる|リフレクター|ひかりのかべ|こうそくいどう|はたきおとす|どろぼう|なげつける|わるだくみ|うそなき|アイアンテール|じゃれつく|みわくのボイス|ドレインキッス|あまえる|てんしのキッス"
"p0026","0026","26","ライチュウ","せいでんき|ひらいしん","60","90","55","90","80","110","false","","","","","","","","","","でんき","ギガインパクト|メガトンキック|のしかかり|からげんき|ねこだまし|でんこうせっか|フェイント|がむしゃら|じたばた|はかいこうせん|りんしょう|いびき|くすぐる|ねがいごと|てだすけ|アンコール|ねごと|こらえる|まもる|みがわり|かげぶんしん|くさわけ|くさむすび|なみのり|あまごい|ボルテッカー|ワイルドボルト|かみなりパンチ|ほっぺすりすり|でんじほう|かみなり|10まんボルト|ほうでん|ライジングボルト|ボルトチェンジ|エレキネット|チャージビーム|エレキボール|エレキフィールド|かいでんぱ|じゅうでん|でんじは|あなをほる|きあいパンチ|ドレインパンチ|かわらわり|はやてがえし|きしかいせい|きあいだま|ねむる|リフレクター|ひかりのかべ|こうそくいどう|はたきおとす|ぶんまわす|どろぼう|なげつける|わるだくみ|うそなき|アイアンテール|じゃれつく|みわくのボイス|マジカルシャイン|ドレインキッス|あまえる|てんしのキッス"
"p0026-2","0026-R","26","ライチュウ(アローラ)","サーフテール","60","85","50","95","85","110","false","","","","","","","","","","でんき|エスパー","ギガインパクト|メガトンキック|のしかかり|からげんき|ねこだまし|でんこうせっか|フェイント|がむしゃら|じたばた|はかいこうせん|りんしょう|いびき|くすぐる|ねがいごと|てだすけ|アンコール|ねごと|こらえる|まもる|みがわり|かげぶんしん|くさわけ|くさむすび|なみのり|あまごい|ボルテッカー|ワイルドボルト|かみなりパンチ|ほっぺすりすり|でんじほう|かみなり|10まんボルト|ほうでん|ライジングボルト|ボルトチェンジ|エレキネット|チャージビーム|エレキボール|エレキフィールド|かいでんぱ|じゅうでん|でんじは|あなをほる|きあいパンチ|かわらわり|はやてがえし|きしかいせい|きあいだま|サイコキネシス|ワイドフォース|サイコショック|サイコノイズ|アシストパワー|スピードスワップ|サイコフィールド|マジックルーム|めいそう|スキルスワップ|ねむる|リフレクター|ひかりのかべ|こうそくいどう|はたきおとす|どろぼう|なげつける|わるだくみ|うそなき|アイアンテール|じゃれつく|みわくのボイス|マジカルシャイン|ドレインキッス|あまえる|てんしのキッス"
